"common_name","model_name","fixed","disp","npar","aic","delta_aic","rmse","mre","mae","r2","bias"
"Pacific cod","liver_12","~poly(DISTELL_LIVER, 1)","~log(LENGTH_CM)",7,-135.03,0,"13.3","51.2"," 9.8","0.45"," 0.024"
"Pacific cod","liver_13","~poly(DISTELL_LIVER, 2)","~log(LENGTH_CM)",8,-134.17,0.860000000000014,"13.3","51.4"," 9.9","0.45"," 0.025"
"Pacific cod","liver_3","~poly(DISTELL_LIVER, 2)","~1",7,-111.69,23.34,"12.4","43.5"," 9.4","0.51","-0.003"
"Pacific cod","liver_2","~poly(DISTELL_LIVER, 1)","~1",6,-111.23,23.8,"12.4","44.3"," 9.5","0.50","-0.003"
"Pacific cod","liver_7","~poly(HSI_PCT, 3)","~1",8,-110.09,24.94,"13.0","44.3","10.2","0.45","-0.003"
"Pacific cod","liver_4","~poly(DISTELL_LIVER, 3)","~1",8,-109.74,25.29,"12.5","43.9"," 9.5","0.50","-0.003"
"Pacific cod","liver_6","~poly(HSI_PCT, 2)","~1",7,-108.75,26.28,"13.1","44.8","10.3","0.45","-0.003"
"Pacific cod","liver_17","~poly(HSI_PCT, 3)","~log(LENGTH_CM)",9,-108.13,26.9,"13.0","44.2","10.2","0.45","-0.002"
"Pacific cod","liver_16","~poly(HSI_PCT, 2)","~log(LENGTH_CM)",8,-107.02,28.01,"13.1","44.6","10.4","0.45","-0.002"
"Pacific cod","liver_15","~poly(HSI_PCT, 1)","~log(LENGTH_CM)",7,-101.33,33.7,"13.7","50.0","10.9","0.39","-0.004"
"Pacific cod","liver_5","~poly(HSI_PCT, 1)","~1",6,-100.53,34.5,"13.7","49.8","10.9","0.39","-0.003"
"Pacific cod","liver_9","~poly(LOG_LW_RESID, 2)","~1",7,-73.98,61.05,"16.2","61.9","13.7","0.16","-0.003"
"Pacific cod","liver_10","~poly(LOG_LW_RESID, 3)","~1",8,-73.66,61.37,"16.2","60.7","13.6","0.16","-0.005"
"Pacific cod","liver_19","~poly(LOG_LW_RESID, 2)","~log(LENGTH_CM)",8,-73.01,62.02,"16.2","63.1","13.7","0.15","-0.001"
"Pacific cod","liver_20","~poly(LOG_LW_RESID, 3)","~log(LENGTH_CM)",9,-72.35,62.68,"16.2","61.9","13.6","0.16","-0.003"
"Pacific cod","liver_8","~poly(LOG_LW_RESID, 1)","~1",6,-71.02,64.01,"16.7","63.9","14.1","0.11","-0.003"
"Pacific cod","liver_18","~poly(LOG_LW_RESID, 1)","~log(LENGTH_CM)",7,-70.55,64.48,"16.7","64.8","14.1","0.11"," 0.000"
"Pacific cod","liver_11","~1","~log(LENGTH_CM)",6,-63.94,71.09,"17.1","72.7","14.6","0.05","-0.002"
"Pacific cod","liver_1","~1","~1",5,-63.84,71.19,"17.1","71.8","14.6","0.06","-0.006"
