"common_name","model_name","fixed","disp","npar","aic","delta_aic","rmse","mre","mae","r2","bias"
"Pacific cod","muscle_2","~poly(DISTELL_TISSUE, 1)","~1",6,-747.38,0,"44.8"," 99.4","42.2","0.04","-0.422"
"Pacific cod","muscle_3","~poly(DISTELL_TISSUE, 2)","~1",7,-745.85,1.52999999999997,"44.8"," 99.4","42.2","0.00","-0.422"
"Pacific cod","muscle_7","~poly(LOG_LW_RESID, 3)","~1",8,-745.59,1.78999999999996,"44.8"," 98.6","42.0","0.05","-0.420"
"Pacific cod","muscle_1","~1","~1",5,-745.4,1.98000000000002,"44.8"," 99.4","42.2","0.11","-0.422"
"Pacific cod","muscle_6","~poly(LOG_LW_RESID, 2)","~1",7,-744.76,2.62,"44.8"," 99.2","42.1","0.06","-0.421"
"Pacific cod","muscle_14","~poly(LOG_LW_RESID, 3)","~log(LENGTH_CM)",9,-744.6,2.77999999999997,"44.8"," 98.8","42.1","0.05","-0.421"
"Pacific cod","muscle_5","~poly(LOG_LW_RESID, 1)","~1",6,-744.21,3.16999999999996,"44.8"," 99.4","42.2","0.03","-0.422"
"Pacific cod","muscle_4","~poly(DISTELL_TISSUE, 3)","~1",8,-743.95,3.42999999999995,"45.1","100.9","42.5","0.02","-0.411"
"Pacific cod","muscle_10","~poly(DISTELL_TISSUE, 2)","~log(LENGTH_CM)",8,-743.86,3.51999999999998,"44.8"," 99.4","42.2","0.00","-0.422"
"Pacific cod","muscle_13","~poly(LOG_LW_RESID, 2)","~log(LENGTH_CM)",8,-743.31,4.07000000000005,"44.8"," 99.2","42.1","0.06","-0.421"
"Pacific cod","muscle_12","~poly(LOG_LW_RESID, 1)","~log(LENGTH_CM)",7,-742.4,4.98000000000002,"44.8"," 99.4","42.2","0.03","-0.422"
"Pacific cod","muscle_11","~poly(DISTELL_TISSUE, 3)","~log(LENGTH_CM)",9,-741.95,5.42999999999995,"45.2","101.3","42.6","0.02","-0.410"
