"model_name","formula","disp","aic","k","convergence","pdhess","max_gradient","pass_check","delta_aic","rmse","mre","mae","r2","mean_bias"
"liver_16","P_LIVLIPID ~ poly(HSI_PCT, 2) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-116.51,8,0,TRUE,6.77432138774525e-05,TRUE,0,0.106134869586616,0.202020558268372,0.0794298919925492,0.509520124680139,0.00285281329689331
"liver_17","P_LIVLIPID ~ poly(HSI_PCT, 3) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-115.44,9,0,TRUE,8.61747395020096e-06,TRUE,1.07000000000001,0.109375369960868,0.199574053899753,0.0811540830670167,0.484339306691021,0.00518068666616656
"liver_12","P_LIVLIPID ~ poly(DISTELL_LIVER, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-114.27,7,0,TRUE,9.7388324769021e-05,TRUE,2.24000000000001,0.135353655948942,0.250141414841889,0.0966342415502261,0.227518537893109,-0.00419926718172651
"liver_6","P_LIVLIPID ~ poly(HSI_PCT, 2) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~1",-114.08,7,0,TRUE,8.16592536345695e-06,TRUE,2.43000000000001,0.106534368626001,0.198992048338894,0.0800059438836673,0.507005872783498,-0.00299568195303183
"liver_15","P_LIVLIPID ~ poly(HSI_PCT, 1) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-113.39,7,0,TRUE,2.26261290080798e-05,TRUE,3.12,0.110124218148677,0.214939925321386,0.0796731769105837,0.472269801919247,0.00438709108172826
"liver_7","P_LIVLIPID ~ poly(HSI_PCT, 3) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~1",-113.33,8,0,TRUE,8.64235349473663e-06,TRUE,3.18000000000001,0.11029221561182,0.197330313420829,0.0815601538309045,0.476991657447444,-0.000316810090719902
"liver_13","P_LIVLIPID ~ poly(DISTELL_LIVER, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-112.53,8,0,TRUE,0.000465716422279994,TRUE,3.98,0.132602684368023,0.247555955405568,0.0939373532556252,0.255688390669108,-0.00484398553111681
"liver_14","P_LIVLIPID ~ poly(DISTELL_LIVER, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-110.53,9,0,TRUE,0.000221829984435651,TRUE,5.98,0.145693212972514,0.261675839705248,0.10020229603875,0.163108257726608,0.00141055638794384
"liver_2","P_LIVLIPID ~ poly(DISTELL_LIVER, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-110.45,6,0,TRUE,5.24687289171766e-08,TRUE,6.06,0.133347979573625,0.239394599426816,0.0943170421732166,0.253062812228351,-0.0062675481949601
"liver_5","P_LIVLIPID ~ poly(HSI_PCT, 1) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~1",-109.83,6,0,TRUE,4.13102991824593e-06,TRUE,6.68000000000001,0.111627223472123,0.213777143363503,0.0818398735017825,0.460124417599434,-0.00374346227621679
"liver_18","P_LIVLIPID ~ poly(LOG_LW_RESID, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-86.82,7,0,TRUE,1.1164045661427e-05,TRUE,29.69,0.128067390393963,0.262730846893564,0.0994763199588946,0.285877338709157,-0.000298059132920485
"liver_19","P_LIVLIPID ~ poly(LOG_LW_RESID, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-85.05,8,0,TRUE,0.000205541056662345,TRUE,31.46,0.130208330463219,0.270969865355299,0.100370710861593,0.261036747170398,-0.00036330390885258
