"common_name","model_name","fixed","disp","npar","aic","delta_aic","rmse","mre","mae","r2","bias"
"walleye pollock","liver_16","~poly(HSI_PCT, 2)","~log(LENGTH_CM)",8,-116.51,0,"10.6","20.2"," 7.9","0.51"," 0.003"
"walleye pollock","liver_17","~poly(HSI_PCT, 3)","~log(LENGTH_CM)",9,-115.44,1.07000000000001,"10.9","20.0"," 8.1","0.48"," 0.005"
"walleye pollock","liver_12","~poly(DISTELL_LIVER, 1)","~log(LENGTH_CM)",7,-114.27,2.24000000000001,"13.5","25.0"," 9.7","0.23","-0.004"
"walleye pollock","liver_6","~poly(HSI_PCT, 2)","~1",7,-114.08,2.43000000000001,"10.7","19.9"," 8.0","0.51","-0.003"
"walleye pollock","liver_15","~poly(HSI_PCT, 1)","~log(LENGTH_CM)",7,-113.39,3.12,"11.0","21.5"," 8.0","0.47"," 0.004"
"walleye pollock","liver_7","~poly(HSI_PCT, 3)","~1",8,-113.33,3.18000000000001,"11.0","19.7"," 8.2","0.48"," 0.000"
"walleye pollock","liver_13","~poly(DISTELL_LIVER, 2)","~log(LENGTH_CM)",8,-112.53,3.98,"13.3","24.8"," 9.4","0.26","-0.005"
"walleye pollock","liver_14","~poly(DISTELL_LIVER, 3)","~log(LENGTH_CM)",9,-110.53,5.98,"14.6","26.2","10.0","0.16"," 0.001"
"walleye pollock","liver_2","~poly(DISTELL_LIVER, 1)","~1",6,-110.45,6.06,"13.3","23.9"," 9.4","0.25","-0.006"
"walleye pollock","liver_5","~poly(HSI_PCT, 1)","~1",6,-109.83,6.68000000000001,"11.2","21.4"," 8.2","0.46","-0.004"
"walleye pollock","liver_18","~poly(LOG_LW_RESID, 1)","~log(LENGTH_CM)",7,-86.82,29.69,"12.8","26.3"," 9.9","0.29"," 0.000"
"walleye pollock","liver_19","~poly(LOG_LW_RESID, 2)","~log(LENGTH_CM)",8,-85.05,31.46,"13.0","27.1","10.0","0.26"," 0.000"
"walleye pollock","liver_20","~poly(LOG_LW_RESID, 3)","~log(LENGTH_CM)",9,-83.06,33.45,"13.3","27.7","10.2","0.23","-0.001"
"walleye pollock","liver_8","~poly(LOG_LW_RESID, 1)","~1",6,-81.64,34.87,"12.8","25.5","10.0","0.29","-0.004"
"walleye pollock","liver_9","~poly(LOG_LW_RESID, 2)","~1",7,-79.65,36.86,"13.1","26.5","10.1","0.26","-0.004"
"walleye pollock","liver_10","~poly(LOG_LW_RESID, 3)","~1",8,-77.73,38.78,"13.4","27.2","10.3","0.24","-0.004"
"walleye pollock","liver_11","~1","~log(LENGTH_CM)",6,-72.52,43.99,"14.3","29.5","10.5","0.11"," 0.000"
"walleye pollock","liver_1","~1","~1",5,-66.65,49.86,"14.4","29.6","10.7","0.09","-0.005"
