"model_name","formula","disp","aic","k","convergence","pdhess","max_gradient","pass_check","delta_aic","rmse","mre","mae","r2","mean_bias"
"muscle_1","P_MUSLIPID ~ 1 + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) + (0 + LENGTH_CM |     SPECIES)","~1",-911.68,5,0,TRUE,2.36460972523334e-05,TRUE,0,0.574833453701602,0.993472006441139,0.550277133365628,0.0300355838214823,-0.550277133365628
"muscle_5","P_MUSLIPID ~ poly(LOG_LW_RESID, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-910.54,6,0,TRUE,4.10586779682753e-05,TRUE,1.13999999999999,0.574828651586801,0.993502314432762,0.550276154138136,0.218122179416926,-0.550276154138136
"muscle_8","P_MUSLIPID ~ 1 + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) + (0 + LENGTH_CM |     SPECIES)","~log(LENGTH_CM)",-909.9,6,0,TRUE,2.83882541105562e-05,TRUE,1.77999999999997,0.574836839030722,0.993481844125912,0.550280778843892,0.0391077077233022,-0.550280778843892
"muscle_2","P_MUSLIPID ~ poly(DISTELL_TISSUE, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-909.79,6,0,TRUE,7.52349960113363e-06,TRUE,1.88999999999999,0.574832508607141,0.993494734456381,0.550276618599159,0.0280758182713318,-0.550276618599159
"muscle_12","P_MUSLIPID ~ poly(LOG_LW_RESID, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-908.69,7,0,TRUE,7.07086403548623e-05,TRUE,2.9899999999999,0.574832251594744,0.993521480582649,0.550280853208048,0.256679518152169,-0.550280853208048
"muscle_6","P_MUSLIPID ~ poly(LOG_LW_RESID, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-908.57,7,0,TRUE,1.18451487359102e-06,TRUE,3.1099999999999,0.574824874174879,0.993529848232296,0.550274781078395,0.204166708725592,-0.550274781078395
"muscle_9","P_MUSLIPID ~ poly(DISTELL_TISSUE, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-908,7,0,TRUE,0.0001897159771449,TRUE,3.67999999999995,0.574835924950681,0.99350737933589,0.550280280220026,0.0298634225555149,-0.550280280220026
"muscle_3","P_MUSLIPID ~ poly(DISTELL_TISSUE, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-907.84,7,0,TRUE,3.6357781500948e-06,TRUE,3.83999999999992,0.574830094742681,0.993607748604273,0.550277756414874,0.104363370819424,-0.550277756414874
"muscle_7","P_MUSLIPID ~ poly(LOG_LW_RESID, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-907.45,8,0,TRUE,1.24009056667873e-06,TRUE,4.2299999999999,0.574833017862576,0.993517421344503,0.55027582492987,3.16537942225916e-06,-0.55027582492987
"muscle_13","P_MUSLIPID ~ poly(LOG_LW_RESID, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-906.73,8,0,TRUE,0.000238643661583327,TRUE,4.94999999999993,0.574828325630901,0.993551182612739,0.550279599386793,0.246865728565586,-0.550279599386793
"muscle_10","P_MUSLIPID ~ poly(DISTELL_TISSUE, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-906.01,8,0,TRUE,0.000181464621862304,TRUE,5.66999999999996,0.574832835179831,0.993599054116938,0.550280210062478,0.0982042857952771,-0.550280210062478
"muscle_14","P_MUSLIPID ~ poly(LOG_LW_RESID, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-905.61,9,0,TRUE,1.80816816522595e-05,TRUE,6.06999999999994,0.574836463693169,0.993538289748854,0.550280676462782,0.00061940067654167,-0.550280676462782
"muscle_11","P_MUSLIPID ~ poly(DISTELL_TISSUE, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-904.65,9,0,TRUE,0.000317039403705754,TRUE,7.02999999999997,0.574843618044307,0.993178308982388,0.550274404421306,0.0853851338818824,-0.550274404421306
