"common_name","model_name","fixed","disp","npar","aic","delta_aic","rmse","mre","mae","r2","bias"
"walleye pollock","muscle_1","~1","~1",5,-911.68,0,"57.5","99.3","55.0","0.03","-0.550"
"walleye pollock","muscle_5","~poly(LOG_LW_RESID, 1)","~1",6,-910.48,1.19999999999993,"57.5","99.4","55.0","0.22","-0.550"
"walleye pollock","muscle_8","~1","~log(LENGTH_CM)",6,-909.9,1.77999999999997,"57.5","99.3","55.0","0.04","-0.550"
"walleye pollock","muscle_2","~poly(DISTELL_TISSUE, 1)","~1",6,-909.79,1.88999999999999,"57.5","99.3","55.0","0.03","-0.550"
"walleye pollock","muscle_12","~poly(LOG_LW_RESID, 1)","~log(LENGTH_CM)",7,-908.64,3.03999999999996,"57.5","99.4","55.0","0.25","-0.550"
"walleye pollock","muscle_6","~poly(LOG_LW_RESID, 2)","~1",7,-908.51,3.16999999999996,"57.5","99.4","55.0","0.19","-0.550"
"walleye pollock","muscle_9","~poly(DISTELL_TISSUE, 1)","~log(LENGTH_CM)",7,-908,3.67999999999995,"57.5","99.4","55.0","0.03","-0.550"
"walleye pollock","muscle_3","~poly(DISTELL_TISSUE, 2)","~1",7,-907.84,3.83999999999992,"57.5","99.4","55.0","0.10","-0.550"
"walleye pollock","muscle_13","~poly(LOG_LW_RESID, 2)","~log(LENGTH_CM)",8,-906.67,5.00999999999999,"57.5","99.4","55.0","0.23","-0.550"
"walleye pollock","muscle_10","~poly(DISTELL_TISSUE, 2)","~log(LENGTH_CM)",8,-906.01,5.66999999999996,"57.5","99.4","55.0","0.10","-0.550"
"walleye pollock","muscle_14","~poly(LOG_LW_RESID, 3)","~log(LENGTH_CM)",9,-905.52,6.15999999999997,"57.5","99.4","55.0","0.00","-0.550"
"walleye pollock","muscle_11","~poly(DISTELL_TISSUE, 3)","~log(LENGTH_CM)",9,-904.65,7.02999999999997,"57.5","99.3","55.0","0.09","-0.550"
